Day,Reach,Impressions,Frequency,Amount Spent (USD),Visitation,Add_to_Cart,Conversion
7/1/2019,139868,177275,1.27,1797,1015,114,62
7/2/2019,167134,225509,1.35,2419,1545,165,91
7/3/2019,156634,214946,1.37,2431,1489,165,92
7/4/2019,173658,238949,1.38,2458,1541,165,90
7/5/2019,128700,162153,1.26,1731,1094,143,75
7/6/2019,100396,127574,1.27,1293,896,127,74
7/7/2019,119484,149010,1.25,1357,1014,163,95
7/8/2019,134716,173094,1.28,1633,1274,179,97
7/9/2019,148476,204445,1.38,2098,1627,195,103
7/10/2019,139546,179714,1.29,1835,1551,161,83
7/11/2019,134492,162537,1.21,1579,1488,168,95
7/12/2019,144182,185490,1.29,1895,1828,173,98
7/13/2019,147292,193642,1.31,1894,1683,153,80
7/14/2019,153308,198655,1.3,1944,1813,174,98
7/15/2019,147165,190735,1.3,1961,1694,209,111
7/16/2019,141370,187264,1.32,1985,1412,133,67
7/17/2019,154108,199637,1.3,2130,1649,116,61
7/18/2019,154812,211952,1.37,2277,1623,130,74
7/19/2019,175324,251817,1.44,2817,1871,142,82
7/20/2019,201211,280394,1.39,2915,2033,143,81
7/21/2019,202396,302296,1.49,2989,2035,151,88
7/22/2019,201596,302904,1.5,2943,1959,159,88
7/23/2019,204476,295929,1.45,2999,1962,163,88
7/24/2019,196124,300027,1.53,3091,1968,154,77
7/25/2019,178588,261338,1.46,2739,1700,168,95
7/26/2019,201436,258695,1.28,2711,2052,199,117
7/27/2019,184781,256002,1.39,2737,2062,154,84
7/28/2019,200764,272286,1.36,2748,2138,188,101
7/29/2019,208028,274896,1.32,2648,2156,219,134
7/30/2019,178369,240085,1.35,2239,1759,213,120
7/31/2019,152412,199346,1.31,1938,1681,191,108
8/1/2019,163513,205703,1.26,2176,1994,173,95
8/2/2019,168793,223689,1.33,2487,2035,204,122
8/3/2019,177436,231328,1.3,2543,2002,188,112
8/4/2019,186396,241249,1.29,2531,2259,214,119
8/5/2019,165350,227493,1.38,2481,2033,197,110
8/6/2019,160924,218238,1.36,2556,1855,192,111
8/7/2019,178394,239233,1.34,2809,2086,243,137
8/8/2019,167195,234834,1.4,2943,2053,174,91
8/9/2019,180572,249444,1.38,3125,2069,220,126
8/10/2019,186908,247773,1.33,3104,2291,189,96
8/11/2019,196060,266610,1.36,3059,2409,247,137
8/12/2019,197915,269246,1.36,3150,2351,217,111
8/13/2019,221275,290897,1.31,3266,2560,215,109
8/14/2019,216700,281363,1.3,3381,2610,212,125
8/15/2019,201723,264172,1.31,3383,2586,197,110
8/16/2019,204508,268723,1.31,3536,2730,200,114
8/17/2019,211772,281051,1.33,3504,2718,191,98
8/18/2019,228956,300293,1.31,3585,3040,213,124
8/19/2019,248988,316872,1.27,3621,2937,239,135
8/20/2019,243740,319724,1.31,3711,3186,231,125
8/21/2019,259036,335030,1.29,3797,3056,235,125
8/22/2019,269724,348466,1.29,4070,3344,216,124
8/23/2019,265692,345087,1.3,4303,3554,215,118
8/24/2019,271131,352581,1.3,4424,3630,213,127
8/25/2019,321692,424307,1.32,5001,4391,265,148
8/26/2019,336347,446207,1.33,5416,4860,265,137
8/27/2019,319964,430348,1.34,5519,4524,243,128
8/28/2019,323932,425263,1.31,5464,4438,251,142
8/29/2019,306781,403011,1.31,5183,4239,240,136
8/30/2019,309917,406815,1.31,5145,3794,258,151
8/31/2019,327452,428584,1.31,5147,4080,288,154
9/1/2019,313372,415042,1.32,4630,4087,229,129
9/2/2019,287451,378082,1.32,4018,3714,286,162
9/3/2019,265500,341398,1.29,3602,3108,264,143
9/4/2019,240797,300465,1.25,3512,2945,229,117
9/5/2019,219612,291073,1.33,3458,2684,223,111
9/6/2019,213660,271111,1.27,3351,2644,197,91
9/7/2019,216093,276675,1.28,3280,2699,193,106
9/8/2019,246497,301970,1.23,3377,2895,226,119
9/9/2019,229113,284323,1.24,3370,2728,236,110
9/10/2019,221337,274944,1.24,3347,2594,212,107
9/11/2019,254979,316930,1.24,3964,3080,240,121
9/12/2019,263767,330346,1.25,4377,3186,247,118
9/13/2019,267933,344079,1.28,4325,3075,251,127
9/14/2019,261980,329071,1.26,4184,3152,246,125
9/15/2019,296924,379926,1.28,4273,3136,318,165
9/16/2019,267804,334791,1.25,4034,2866,259,124
9/17/2019,247453,312638,1.26,3946,2865,197,100
9/18/2019,232540,295326,1.27,3995,2942,176,75
9/19/2019,231709,290680,1.25,3903,2703,170,87
9/20/2019,211836,268692,1.27,3839,2548,159,74
9/21/2019,210556,269709,1.28,3697,2732,129,67
9/22/2019,216732,274053,1.26,3291,2231,158,78
9/23/2019,234972,290163,1.23,3843,2645,170,73
9/24/2019,235229,293608,1.25,4192,2867,170,86
9/25/2019,238044,307338,1.29,4168,2899,184,94
9/26/2019,204735,260939,1.27,3547,2310,155,83
9/27/2019,212924,264303,1.24,3610,2412,154,76
9/28/2019,229214,300918,1.31,3884,2696,187,95
9/29/2019,255452,337604,1.32,4104,2975,235,111
9/30/2019,247068,316942,1.28,3825,2820,252,128
10/1/2019,226012,280446,1.24,3056,2529,185,81
10/2/2019,187228,241584,1.29,2710,2090,181,85
10/3/2019,178908,229598,1.28,2707,2191,158,77
10/4/2019,173021,222532,1.29,2698,2207,122,64
10/5/2019,190684,237946,1.25,2642,2121,170,84
10/6/2019,222684,272420,1.22,2772,2323,181,88
10/7/2019,217116,273662,1.26,2748,2294,185,88
10/8/2019,229020,278885,1.22,3019,2425,196,87
10/9/2019,208828,263499,1.26,3066,2380,161,81
10/10/2019,242268,305025,1.26,3656,2656,192,90
10/11/2019,251227,334997,1.33,4157,2900,188,94
10/12/2019,258396,337096,1.3,4078,3143,176,87
10/13/2019,281564,379093,1.35,4237,3325,215,117
10/14/2019,283356,370030,1.31,4196,3173,199,98
10/15/2019,275552,366316,1.33,4290,3316,208,101
10/16/2019,254235,341522,1.34,4012,3035,192,89
10/17/2019,261658,338600,1.29,3983,2939,191,98
10/18/2019,257948,324511,1.26,4018,2692,194,90
10/19/2019,245661,320597,1.31,3858,2634,184,100
10/20/2019,267484,354361,1.32,3959,2654,194,94
10/21/2019,260188,348613,1.34,3944,2651,235,100
10/22/2019,259480,337131,1.3,3863,2512,208,95
10/23/2019,236764,314138,1.33,3979,2394,193,95
10/24/2019,215932,288810,1.34,3765,2419,186,98
10/25/2019,200124,262120,1.31,3318,2000,155,77
10/26/2019,212988,285676,1.34,3294,2048,169,86
10/27/2019,205276,285970,1.39,3384,2229,170,77
10/28/2019,210300,273742,1.3,3240,1834,177,79
10/29/2019,187259,241017,1.29,3208,1779,165,95
10/30/2019,207312,280786,1.35,3095,2028,171,84
10/31/2019,247195,323530,1.31,3582,2472,227,112
11/1/2019,231196,321978,1.39,3543,2454,222,110
11/2/2019,244635,329190,1.35,3562,2545,234,119
11/3/2019,260188,355067,1.36,3522,2624,249,119
11/4/2019,231900,312071,1.35,3469,2414,240,124
11/5/2019,216092,294060,1.36,3526,2437,211,101
11/6/2019,208348,282843,1.36,3495,2229,194,86
11/7/2019,199901,273266,1.37,3468,2228,184,77
11/8/2019,188923,253335,1.34,3463,2134,169,76
11/9/2019,190040,260110,1.37,3412,2006,146,63
11/10/2019,213404,288790,1.35,3515,2274,173,91
11/11/2019,212284,276193,1.3,3508,2255,177,81
11/12/2019,199067,258237,1.3,3439,2154,189,80
11/13/2019,221404,289374,1.31,4146,2397,247,119
11/14/2019,232668,318600,1.37,4941,3609,215,102
11/15/2019,235932,315085,1.34,4914,3810,221,109
11/16/2019,246876,333500,1.35,4823,3682,231,129
11/17/2019,244123,331037,1.36,4380,3639,241,124
11/18/2019,225183,308322,1.37,4043,3232,231,111
11/19/2019,223068,298345,1.34,4089,3059,200,90
11/20/2019,217340,288756,1.33,4054,3088,198,91
11/21/2019,229788,303148,1.32,4194,3138,191,95
11/22/2019,218715,288825,1.32,4306,3070,192,91
11/23/2019,224732,290804,1.29,4343,3181,179,83
11/24/2019,249369,330963,1.33,4713,3474,212,104
11/25/2019,238299,321593,1.35,4772,3346,226,109
11/26/2019,238750,318857,1.34,4909,3256,235,113
11/27/2019,239132,322620,1.35,4979,3223,225,108
11/28/2019,237020,310996,1.31,4952,3285,237,125
11/29/2019,200188,262368,1.31,4545,2819,210,111
11/30/2019,211387,286073,1.35,4418,2761,256,122
12/1/2019,251099,337615,1.34,4832,3062,319,164
12/2/2019,196027,264770,1.35,4388,2430,266,121
12/3/2019,217499,296186,1.36,4346,2350,263,116
12/4/2019,227996,312628,1.37,4323,2551,272,125
12/5/2019,237275,315179,1.33,4530,2609,282,128
12/6/2019,224027,300575,1.34,4496,2587,237,122
12/7/2019,215899,296060,1.37,4383,2777,230,113
12/8/2019,226267,318947,1.41,4472,2856,259,125
12/9/2019,248347,330024,1.33,4523,2718,247,115
12/10/2019,221340,302221,1.37,4467,2727,242,112
12/11/2019,215899,296828,1.37,4478,2792,239,110
12/12/2019,219548,306753,1.4,4459,2623,232,109
12/13/2019,199260,279544,1.4,4441,2805,177,91
12/14/2019,188635,267036,1.42,4388,2910,179,81
12/15/2019,198556,282647,1.42,4468,2880,198,98
12/16/2019,213846,296735,1.39,4433,2950,251,123
12/17/2019,186492,258370,1.39,4311,2692,202,87
12/18/2019,180476,251385,1.39,4316,2714,168,72
12/19/2019,182459,252882,1.39,4320,2659,162,85
12/20/2019,174524,232528,1.33,4316,2568,142,62
12/21/2019,178972,251225,1.4,4240,2822,158,74
12/22/2019,201020,266525,1.33,4292,2798,142,71
12/23/2019,208603,281230,1.35,4346,2831,144,61
12/24/2019,203228,297051,1.46,4333,2662,143,64
12/25/2019,250075,349959,1.4,4316,2970,178,85
12/26/2019,229979,318570,1.39,4314,3166,179,86
12/27/2019,226460,318587,1.41,4313,3182,170,84
12/28/2019,226012,305290,1.35,4094,3102,170,84
12/29/2019,222748,310100,1.39,3906,3056,154,71
12/30/2019,222235,319211,1.44,4155,3286,137,65
12/31/2019,289051,402514,1.39,4727,3590,166,73
1/1/2020,412635,577303,1.4,4521,4680,270,140
1/2/2020,378395,538840,1.42,4519,4392,254,128
1/3/2020,400667,582286,1.45,4514,4061,280,132
1/4/2020,404635,577654,1.43,4461,4143,285,145
1/5/2020,389915,572202,1.47,4563,4317,246,126
1/6/2020,431962,601860,1.39,4569,3576,268,120
1/7/2020,425300,574454,1.35,4391,3606,254,125
1/8/2020,430683,574444,1.33,4532,3491,248,123
1/9/2020,378651,528396,1.4,4683,4145,191,95
1/10/2020,374235,533710,1.43,4658,3949,211,101
1/11/2020,406043,586535,1.44,4842,4117,191,101
1/12/2020,452250,634176,1.4,4928,4014,213,99
1/13/2020,456089,637343,1.4,5000,4023,230,106
1/14/2020,423962,597951,1.41,4997,3886,188,90
1/15/2020,378651,539986,1.43,4970,4197,161,80
1/16/2020,339226,496835,1.46,4974,4259,129,67
1/17/2020,325977,458613,1.41,4964,4069,107,60
1/18/2020,381914,536181,1.4,4911,4185,128,79
1/19/2020,379092,533360,1.41,4934,4222,150,75
1/20/2020,424283,583812,1.38,4883,3444,179,88
1/21/2020,429722,577575,1.34,4965,3538,180,89
1/22/2020,382031,515196,1.35,4831,3122,167,88
1/23/2020,364364,489870,1.34,4764,3298,162,89
1/24/2020,309787,430909,1.39,4720,3623,129,69
1/25/2020,365915,474968,1.3,4693,3418,159,79
1/26/2020,303132,442730,1.46,4722,4033,128,68
1/27/2020,300252,418191,1.39,4701,3677,137,65
1/28/2020,371229,503148,1.36,4873,3751,177,94
1/29/2020,400158,528798,1.32,5014,3304,194,86
1/30/2020,377820,512576,1.36,5011,3075,201,99
1/31/2020,369500,501451,1.36,4991,3186,176,84
2/1/2020,365276,524544,1.44,4852,3905,167,81
2/2/2020,379228,560603,1.48,4979,4036,195,105
2/3/2020,407836,600467,1.47,5048,3735,216,104
2/4/2020,428825,598653,1.4,5191,3494,190,87
2/5/2020,415260,569368,1.37,5405,3726,207,98
2/6/2020,408991,561631,1.37,5601,3313,183,96
2/7/2020,409436,559996,1.37,5570,3342,180,83
2/8/2020,352539,536567,1.52,5480,4195,165,76
2/9/2020,385692,589288,1.53,5561,4534,199,98
2/10/2020,330587,470397,1.42,5440,4596,149,76
2/11/2020,341673,478744,1.4,5993,5418,154,71
2/12/2020,407774,550471,1.35,6925,5629,168,64
2/13/2020,441122,655783,1.49,8457,6969,165,77
2/14/2020,410337,655534,1.6,8561,6378,161,73
2/15/2020,435299,704690,1.62,8503,6743,143,74
2/16/2020,485927,757477,1.56,8682,6804,174,81
2/17/2020,472622,720884,1.53,8676,6803,184,83
2/18/2020,455841,713623,1.57,8611,6598,156,66
2/19/2020,423842,661305,1.56,8150,5987,159,83
2/20/2020,445282,670994,1.51,8663,6562,148,65
2/21/2020,425507,656195,1.54,8978,6976,190,108
2/22/2020,421543,647937,1.54,8869,6729,206,105
2/23/2020,493222,753191,1.53,9387,7178,231,123
2/24/2020,481442,704799,1.46,8959,6935,249,125
2/25/2020,442910,643678,1.45,8406,6047,242,121
2/26/2020,448419,669153,1.49,8381,6977,232,114
2/27/2020,357602,532452,1.49,7200,6146,184,91
2/28/2020,355063,512966,1.44,7122,5985,160,87
2/29/2020,378340,550724,1.46,6921,5936,183,90
3/1/2020,282278,407550,1.44,4432,3993,155,72
3/2/2020,452007,669770,1.48,7670,6459,241,122
3/3/2020,412517,642816,1.56,7677,6962,174,82
3/4/2020,417311,636492,1.53,7621,6848,192,98
3/5/2020,409184,596573,1.46,7649,6824,188,91
3/6/2020,380829,562655,1.48,7796,6830,132,71
3/7/2020,358752,545328,1.52,7359,6307,158,80
3/8/2020,346530,545343,1.57,6857,6073,162,83
3/9/2020,398558,588653,1.48,7584,6887,180,82
3/10/2020,381470,573191,1.5,7594,6920,180,83
3/11/2020,380893,565012,1.48,7590,6939,154,66
3/12/2020,382688,566503,1.48,7577,6917,155,76
3/13/2020,395231,593691,1.5,7561,7303,144,69
3/14/2020,410077,619207,1.51,7500,7683,152,60
3/15/2020,424990,649550,1.53,7493,7643,148,72
3/16/2020,440595,647193,1.47,7241,7581,175,70
3/17/2020,403548,588271,1.46,6200,6816,158,58
3/18/2020,377118,504038,1.34,5272,6175,152,53
3/19/2020,318751,450550,1.41,4459,5652,121,41
3/20/2020,307680,414015,1.35,3871,5028,109,36
3/21/2020,294044,403047,1.37,3736,5487,110,34
3/22/2020,322719,440014,1.36,3852,5610,187,60
3/23/2020,95836,107082,1.12,899,1409,48,14
3/24/2020,9734,13839,1.42,-1,177,5,1
3/25/2020,11876,16757,1.41,-1,182,8,3
3/26/2020,12156,16650,1.37,-4,159,9,5
3/27/2020,11784,17025,1.44,-1,146,4,2
3/28/2020,16716,23815,1.42,30,337,9,5
3/29/2020,16856,26002,1.54,44,288,9,2
3/30/2020,18720,26690,1.43,51,241,19,4
3/31/2020,18452,26860,1.46,54,200,15,5
4/1/2020,19296,27486,1.42,42,266,19,6
4/2/2020,18608,26917,1.45,47,220,16,3
4/3/2020,19616,28544,1.46,51,199,18,6
4/4/2020,19856,29267,1.47,50,199,18,7
4/5/2020,20372,31003,1.52,47,209,17,3
4/6/2020,19460,29490,1.52,45,129,17,5
4/7/2020,58476,75894,1.3,382,635,23,6
4/8/2020,81499,117222,1.44,717,1020,30,10
4/9/2020,80188,126632,1.58,920,1078,52,18
4/10/2020,75548,122935,1.63,920,1058,45,13
4/11/2020,64203,106786,1.66,942,1040,38,10
4/12/2020,78684,128729,1.64,938,1100,67,27
4/13/2020,57660,84524,1.47,546,860,40,15
4/14/2020,68108,82444,1.21,411,721,36,11
4/15/2020,22420,32797,1.46,75,146,23,10
4/16/2020,56635,72351,1.28,380,596,33,13
4/17/2020,69004,95398,1.38,580,871,41,14
4/18/2020,64316,89583,1.39,596,890,42,14
4/19/2020,73611,101593,1.38,591,868,35,13
4/20/2020,70508,101064,1.43,744,1003,50,16
4/21/2020,89275,129868,1.45,929,1246,53,18
4/22/2020,85452,126671,1.48,956,1276,65,18
4/23/2020,82380,118076,1.43,918,1142,37,10
4/24/2020,77228,118477,1.53,1084,1376,30,7
4/25/2020,73708,114434,1.55,1110,1406,33,8
4/26/2020,77100,121481,1.58,1086,1441,42,18
4/27/2020,87100,145571,1.67,1278,1668,46,17
4/28/2020,107548,170724,1.59,1444,1709,58,21
4/29/2020,82828,140110,1.69,1065,1288,42,18
4/30/2020,75516,127308,1.69,855,1093,49,19
5/1/2020,68124,118042,1.73,791,1110,42,15
5/2/2020,63036,107722,1.71,748,1040,29,12
5/3/2020,67964,109748,1.61,702,1020,33,13
5/4/2020,91324,130384,1.43,680,958,39,13
5/5/2020,107548,159126,1.48,778,943,41,16
5/6/2020,111100,176810,1.59,907,953,39,12
5/7/2020,111676,183458,1.64,1035,968,43,11
5/8/2020,134619,218612,1.62,1248,1126,38,9
5/9/2020,149916,255858,1.71,1612,1546,32,11
5/10/2020,188892,306924,1.62,1783,1606,42,16
5/11/2020,190875,298239,1.56,1705,1539,38,11
5/12/2020,182492,354094,1.94,1742,1501,44,18
5/13/2020,185600,394991,2.13,1779,1520,50,18
5/14/2020,168892,398366,2.36,1752,1430,37,13
5/15/2020,320289,561961,1.75,2908,2079,49,16
5/16/2020,335324,543574,1.62,2792,1791,67,22
5/17/2020,311004,529484,1.7,2553,1858,78,30
5/18/2020,294876,501223,1.7,2386,1738,78,30
5/19/2020,228059,382760,1.68,1988,1676,64,17
5/20/2020,228443,312998,1.37,2023,2022,45,15
5/21/2020,227091,259798,1.14,1848,2091,47,16
5/22/2020,260508,309957,1.19,2112,2134,62,16
5/23/2020,321627,382692,1.19,2414,2199,59,22
5/24/2020,302108,367046,1.21,2253,2109,75,28
5/25/2020,345052,418363,1.21,2437,2208,89,28
5/26/2020,295644,361177,1.22,2219,2089,84,26
